RestaurantNameRatings;OSM
 Hans im Glück;Loge
70/30;Hallenbadrestaurant Geiselweid
8405 Winterthur - Seen;Schwimmbadrestaurant Töss
AL Giardino;Tibits
Am Romerholz;Kafisatz
Aquarius Lounge;Vollenweider
Argentina Steakhouse;Casinotheater Restaurant Fredi
Asia King Nepalesisches Restaurant;Albani
asiaway Archhöfe;Widder
Baby;grepery
Backwerk;Cappucino
Banane Restaurant;Paddy O'Briens Old Irish Pub
Bar Ristorante Pizzeria Buon Gusto;Chnelle 3
Beck Lyner;Quincy
Big Burger;National
Big Burger Winterthur;zum Schäfli
Bistro Alte Kaserne;Stadtmuur
Bistro Alte Kaserne Kulturzentrum;Renegade
Bistro Dimensione;Kafi Ass
Bistro George;Alltag
Bistro MAX;Istanbul
Bloom Restaurant;Fahrenheit
Bocciodromo;Pulcinella
Boilerroom;Plan B
Bonne maman;Kraftfeld
Brasserie Reh;Hirschen
Brauhaus Winterthur;Café Auszeit
Brewhouse Winterthur;Pizzeria Rosenberg
Bruderhaus Restaurant;Dimensione
By Elvis;McDonald's
Cafe Bar Alltag;Ristorante Pizzeria al Agi-M
Café Bistro 'Am Römerholz';Bistrot George
Cafe Conditorei Backerei SPATZ;Cucina
Café Kunterbunt;Strauss
Cafe Restaurant Obergass;Rosa Pulver
Cafe Schneider;Coop Restaurant
Café Schneider;Santa Lucia
Caffè Spettacolo;Coal Mine Bar
Cantinetta Bindella Winterthur;Restaurant Trübli
Caribbean Pearl;Typisch Thai
Castello;Thurbinä
Central;Le ciel bleu
Chez Grisoni Winterthur;Brasserie Rössli
China Bowl;Gwölb
China Restaurant Alin;Riva
Club zur Geduld;Obergass
Coop Restaurant;Tamam
Coop Restaurant Winterthur Lokwerk;Sonne
Coop to go;La Pergola
Cooperativa Gusto & Cultura;Cantinetta Bindella
Cross Bbq;Orsini
Cucina;Stricker’s
Da Cristina;Bellevue
DA MÈ Ristorante;Stadion
Das Schmale Handtuch;Central
DE•TAPAS;No18
Die Loge Bar;Tandoor
dieci Pizza Kurier Winterthur;Piazza
dieci Pizza Winterthur;Lori Take Away
Domino’s Pizza;Äusserer Lindhof
Domino's Pizza Winterthur Grüze;Salitre
Domino's Pizza Winterthur Neuwiesen;Punto e Pasta
Don Camillo;Barnabas
El Burrito Feliz;Billabong Sport's & Music Bar
El Burrito Feliz Winterthur;Das schmale Handtuch
Emma Bett Und Bistro;Blumenau
Erb Bistro;Haku
Eschenberg;Oliveira
Ethno Bistro;Freieck
Euro Asia Bazar by Kandhasamy;Baby
Euro Pizza;Archbar
Fahrenheit;Molino
Fondue Keller Winterthur;1st Choice
Fondue Stube Winterthur;Zermatt Kebap Haus
Freieck-Seen;San Remo
Frischtheke Café & Bistro;Buon Gusto
Frohsinn Eidberg Winterthur;nachbarsbox
Fu Ji Restaurant ;Bistro Alte Kaserne
Gasthaus Schlosshalde;Schwimmbad Wülflingen
Gasthof Traube;Weinberg
Gelateria Pura Vida;La Bodega Carlo
Gerrys Bar;Osteria del fiore
Gianni's Pizzeria;Fu Ji
Gocha Bar & Restaurant;Pizzeria Schwanen
Grand Cafe du Musee;Maharaja Curry
grepery;Tibet Bistro
Grotto Maienried;Food Corner Swiss
Gutschick;La Torre
Haku Japan Restaurant;Winti-Kanne
Harmonie, Restaurant Western-Saloon;Sargin Kebap Haus
